site_id,pec_id,site_name,owner_applicant,street_address,parcel_id,acres,building_sq_ft,mw_reported,construction_type,build_status,notes,source_link,tax_map_link,date_updated,latitude,longitude,county_fips,county_name,inside_target_county,inside_buffer_zone,source_org,source_url,retrieved_at
370,PEC-STA-0005,Accokeek Center,"A.I., INC",RT 1/Interstate 95 South of Rappahannock Regional Jail,38 96,80.0,520000,,New,Proposed,This project covers multiple parcels. The total acreage has been represented here.,https://cdn.staffordcountyva.gov/Planning%20and%20Zoning/Development%20Review%20Meetings-Applications/December%202024/Accokeek%20Reclass/4-%20%20Generalized%20Development%20Plan%20(GDP)%20-%20Accokeek%20Center.pdf,https://va-stafford-assessor.publicaccessnow.com/PropertySearch/PropertyDetails.aspx?p=38%20%20%20%20%20%20%20%2096&a=23952,2025-04-28,38.40371225518201,-77.42699943809667,51153,Prince William,False,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
273,PEC-PWM-0042,AMAZON DATA SERVICES INC,AMAZON DATA SERVICES INC,11800 BREWERS SPRING RD,7597-42-1456,7.85,"123,534",,Complete,Existing,,,https://pwc.publicaccessnow.com/PropertyDetail.aspx?mpropertynumber=257270&mtab=property&p=257270,2024-04-10,38.79108671000006,-77.54836826999998,51153,Prince William,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
107,PEC-LDN-0038,Arcola Pacific Campus,PowerHouse Data Centers,22020 BRODERICK DR,044461959000,43.29,"1,100,000",,Redevelopment,Proposed,,https://www.datacenterdynamics.com/en/news/arep-launches-powerhouse-data-centers-plans-21-million-sq-ft-338mw-across-virginias-loudoun-county/,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=044461959000&jur=107&taxyr=2024,2024-04-10,39.00486343000005,-77.44698917999993,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
250,PEC-PWM-0019,GCDC PURCHASER PHASE 1 LLC,GCDC PURCHASER PHASE 1 LLC,13760 UNIVERSITY BLVD,7497-46-2858,28.1,"482,223",,"Operating, Expanding",Existing,,,https://pwc.publicaccessnow.com/PropertyDetail.aspx?mpropertynumber=026368&mtab=property&p=026368,2024-04-10,38.80240839000004,-77.58255502999998,51153,Prince William,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
156,PEC-LDN-0085,Filigree Ct Campus,EQUINIX,21701 FILIGREE CT,061483407000,31.97,"679,455",,Complete,Existing,Computer Center,,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=061483407000&jur=107&taxyr=2024&LMparent=20,2024-04-10,39.01585308000005,-77.45988622999994,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
413,PEC-LDN-0151,JK TECHNOLOGY PARK #3,STONE SPRINGS LLC,24393 STONE SPRINGS BLVD,203295737000,21.23,184080,,New,Proposed,,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/c87c4b0c-a3aa-4261-9954-8cc95f06f912?tab=locations,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=203295737000&jur=107&taxyr=2025&LMparent=20,2025-08-06,38.94555640969313,-77.54126178972403,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
81,PEC-LDN-0012,23005 INTERNATIONAL DR,DULLES NCP II LLC,23005 INTERNATIONAL DR,034263373000,8.3,"169,960",,Complete,Existing,"Shown as ""Storage Warehouse""",,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=034263373000&jur=107&taxyr=2024&LMparent=20,2024-04-10,38.979998090000024,-77.42562185999999,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
462,PEC-LDN-0177,Cochran Mill Road,Twin Creeks LLC,42277 COCHRAN MILL RD,151494358000,53.11,811129,,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/308CC962-0022-4914-AE51-DC263552E62C?tab=attachments,,2025-08-11,39.074633089735315,-77.51653982971158,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
436,PEC-LDN-0086,SDC ASHBURN I,SDC ASHBURN ALPHA I LLC,44351 IMPORT PLZ,62159785000,50.0,531592,,"Operating, Expanding",Existing,"Shown as ""Storage Warehouse""",,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=062159785000&jur=107&taxyr=2024&LMparent=20,2025-08-10,38.996208960170314,-77.471638130428,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
38,PEC-FAX-0002A,AVION DATA CENTER,Amazon Data Services Inc,14501 AVION PKWY,0341 03 0013,0.0,"768,392",,Expansion,Proposed,"Two facilities built, third planned",https://plus.fairfaxcounty.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Site&TabName=Site&capID1=21WW1&capID2=00000&capID3=00IHZ&agencyCode=FFX,,2024-04-10,38.90454295000006,-77.45267337999996,51059,Fairfax,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
87,PEC-LDN-0018,Dulles 2000 Redevelopment,BCG JV Sterling LLC; Phil Tager,,035457494000,15.35,"530,550",,New,Proposed,Rezoning does not cover the entire area included in the two parcels,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/06089816-10BD-4D2E-8A91-826D008AA2C4?tab=attachments,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=035457494000&jur=107&taxyr=2024&LMparent=20,2024-04-10,38.975125960000064,-77.42687086999996,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
101,PEC-LDN-0032,22370 KIPPER DR AWS,Amazon Data Services Inc,22370 KIPPER DR,044193385000,14.36,"203,460",,Complete,Existing,"Shown as ""Storage Warehouse""",,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=commercial&UseSearch=no&pin=044193385000&jur=107&taxyr=2024&LMparent=20,2024-04-10,38.99696471000004,-77.43580740999995,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
256,PEC-PWM-0025,NVA15 LLC,STACK INFRASTRUCTURE,9650 HORNBAKER RD,7595-75-4021,31.88,"24,000",48.0,New,Proposed,,https://www.insidenova.com/headlines/stack-infrastructure-finalizes-1-8m-square-feet-in-bristow/article_557b56ba-8289-11ed-8ad6-ebd8be2d9699.html,https://pwc.publicaccessnow.com/PropertyDetail.aspx?mtab=property&mpropertynumber=264056,2024-04-10,38.74385052000008,-77.53757899,51153,Prince William,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
207,PEC-LDN-0134,42139 REEDS FARM LN,Amazon Data Services Inc,42090 REEDS FARM LN,203170856000,90.16,"429,213",,New,Proposed,This project covers multiple parcels. The total acreage is represented here. ,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/d3a1ae33-a03c-43b5-9b3f-6918ec841049?tab=attachments,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=203172023000&jur=107&taxyr=2024,2025-08-06,38.94492708000008,-77.54986628999995,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
399,PEC-LDN-0111B,AWS H&M Property,Amazon Data Services Inc,25500 MEADOWDALE DR,96183926000,,259000,,Expansion,Proposed,Building H,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/4922d1ce-97e0-4321-ade6-f449aace6208?tab=moreinfo,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=096183926000&jur=107&taxyr=2024,2025-08-06,38.91981391006682,-77.48339141002597,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
44,PEC-FAX-0026,Renaissance Technology Park,RP INDUSTRIAL OWNER II LLC,13850 PARK CENTER RD,0242 14 0004,13.23,"2,136,040",,New,Proposed,,https://www.fairfaxcounty.gov/planning-development/sites/planning-development/files/Assets/Documents/PDF/data-centers-report.pdf#page=1,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0242%2014%20%200004&jur=129&taxyr=2025,2024-04-10,38.93244586000002,-77.42386513999996,51059,Fairfax,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
442,PEC-LDN-0172,RIDGETOP CENTER,Amazon Data Services Inc,21670 RIDGETOP CIR,30306633000,11.96,268339,,Redevelopment,Proposed,,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/4A8DECD0-B1EF-4677-B44F-A8C04C863B62?tab=locations,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=land_summary&UseSearch=no&pin=030306633000&jur=107&taxyr=2025&LMparent=20,2025-08-10,39.024725539838215,-77.40990571994867,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
299,PEC-PWM-0085,Digital Second Manassas,DIGITAL CARVER BRICKYARD LLC,10000 BRICKYARD WAY,7695-53-7717,61.47,"1,759,136",,New,Proposed,Need better source for square footage,https://gisweb.pwcgov.org/webapps/countymapper/index.html?Layer=Parcel&GPIN=7695-53-7717,https://pwc.publicaccessnow.com/PropertyDetail.aspx?mtab=property&mpropertynumber=081573,2024-04-10,38.73787155000008,-77.50828809999997,51153,Prince William,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
293,PEC-PWM-0062,DC-4,QTS MANASSAS I DC4 LLC,10680 UNIVERSITY BLVD,7695-38-4751,19.18,"323,526",,New,Proposed,,https://egcss.pwcgov.org/SelfService#/project/323efe8c-4e6b-4a44-87b8-c7cd7e5487ba,https://pwc.publicaccessnow.com/PropertyDetail.aspx?mtab=property&mpropertynumber=248431,2024-04-10,38.75262704000005,-77.51650108999996,51153,Prince William,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
150,PEC-LDN-0079,H5 CAPITAL-ASHBURN,ASHBURN DATA PROPERTY OWNER LP,21800 BEAUMEADE CIR,061307791000,5.25,"228,816",,Complete,Existing,Computer Center,,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=061307791000&jur=107&taxyr=2024&LMparent=20,2024-04-10,39.01373262000004,-77.45174903999997,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
393,PEC-LDN-0087A,STACK NVA04,STACK INFRASTRUCTURE,22285 LOCKRIDGE RD,062275493002,8.54,371941,,Complete,Existing,"SI NVA04B LLC, BUILDING 2",https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/3e234d9f-412a-41f5-94e3-475b94214980?tab=attachments,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=commercial&UseSearch=no&pin=062275493002&jur=107&taxyr=2025&LMparent=20,2025-08-06,39.000745999703256,-77.4603050000749,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
24,PEC-FAX-0008,SUNRISE TECHNOLOGY PARK,Coresite,12098 SUNRISE VALLEY DR,0173 083A0001A,13.74,"423,341",,Complete,Existing,square footage may be underrepresented,https://www.fairfaxcounty.gov/planning-development/sites/planning-development/files/Assets/Documents/PDF/data-centers-report.pdf#page=1,https://icare.fairfaxcounty.gov/ffxcare/datalets/datalet.aspx?mode=profileall&sIndex=0&idx=1&LMparent=138,2024-04-10,38.95070431000004,-77.36489040999999,51059,Fairfax,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
379,PEC-PWM-0074,Wellington Road PRA,TPC WELLINGTON EAST LC,8819 Wellington Rd,7696-42-2354,8.51,370175,,New,Proposed,This project covers multiple parcels. The total acreage has been represented here.,https://egcss.pwcgov.org/SelfService#/plan/55087cda-4790-4f98-be5d-2a054fe2c464?tab=attachments,,2025-07-11,38.763476739674694,-77.5135380400194,51153,Prince William,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
239,PEC-PWM-0008,John Marshall CommonsTech Park,CTP-1 LLC,14392 JOHN MARSHALL HWY,7397-46-4281,22.72,"530,000",,New,Proposed,This project covers multiple parcels. The total acreage has been represented here.,https://egcss.pwcgov.org/SelfService#/plan/823a2554-aa0a-47c1-8c5f-010ff3d947ce,https://pwc.publicaccessnow.com/PropertyDetail.aspx?mpropertynumber=114169&mtab=property&p=114169,2025-07-15,38.803945640000045,-77.61686704999994,51153,Prince William,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
402,PEC-LDN-0109,IAD44,Digital Realty,43704 EFFICIENCY DR,92192834000,18.0,784204,,Complete,Existing,"DIGITAL WL 2834 LLC & DIGITAL WL 5459 LLC, Phase 1 and 2",,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?mode=commercial&UseSearch=no&pin=093365404003&jur=107&taxyr=2025&card=1&item=0&State=2|1|1|1|1|&items=4,2025-08-06,38.96118066965365,-77.4905233398825,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
70,PEC-LDN-0001,Loudoun Commerce Center,Amazon Data Services Inc,45975 Nokes Blvd,030208833000,14.31,"311,670",,Redevelopment,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",https://www.datacenterdynamics.com/en/news/amazon-to-demolish-nine-office-buildings-in-sterling-virginia-and-build-four-data-centers/,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=030208833000&jur=107&taxyr=2024,2024-04-10,39.02239824000002,-77.41006854999995,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
141,PEC-LDN-0070,DC 8 9 10 DE,DC 8 9 10 DE LLC,21271 SMITH SWITCH RD,060485060000,34.74,"429,711",,Complete,Existing,"Shown as ""Storage Warehouse""",,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=060485060000&jur=107&taxyr=2024,2024-04-10,39.02907864000008,-77.45896391999997,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
216,PEC-LDN-0142,24244 QUAIL RIDGE LN,Amazon Data Services Inc,24244 QUAIL RIDGE LN,246200886000,23.47,"412,400",,Complete,Existing,Computer Center,,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=246200886000&jur=107&taxyr=2024&LMparent=20,2024-04-10,38.94905003000008,-77.56043617999995,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
425,PEC-LDN-0051,DCT DULLES DOWNS Land Bay B,DCT DULLES DOWNS LLC,45220 PROLOGIS PLZ,45391908000,19.39,143563,,Complete,Existing,Data centers built between 2012 and 2014,,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=045391908000&jur=107&taxyr=2025,2025-08-08,38.99013715003454,-77.43729309998673,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
93,PEC-LDN-0024,1304 SQUIRE CT,ELECTRIC BUILDING LLC,1304 SQUIRE CT,042295813000,2.82,"36,000",,Complete,Existing,"Shown as ""Storage Warehouse""",,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=042295813000&jur=107&taxyr=2024&LMparent=20,2024-04-10,39.021528660000044,-77.43475816999995,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
187,PEC-LDN-0114,Firefox Dulles,Amazon Data Services Inc,44150 WADE DR,097409598000,18.02,"641,451",,New,Proposed,,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/78E3A554-EEDF-454D-B64F-9980B4A2E471?tab=attachments,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=097409598000&jur=107&taxyr=2024,2024-04-10,38.920613480000036,-77.47288601999998,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
287,PEC-PWM-0056,AIRPORT GATEWAY COMMERCE CENTER,"UNICORN HOTEL LLC, C/O DUPONT FABROS DEVELOPMENT, PCL D",10850 Airman Ave,7694-97-2419,7.23,0,,New,Proposed,,https://egcss.pwcgov.org/SelfService#/project/a44840d1-befb-4b5c-93ee-0485a9dc4f84,,2024-04-10,38.72144071000002,-77.49642757999999,51153,Prince William,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
